Author,final_sentiment
@Lions_Win,SAMSUNG
@Lions_victory,SAMSUNG
@Lionskywalkers,SAMSUNG
@Listsson,KIA
@Littleboypetman,unknown
@Liz__1121catt,KIA
@Ljhk3985,SAMSUNG
@Lkh_8318,SAMSUNG
@Lll-e3z-r5s,unknown
@LoBlyCindy,SAMSUNG
@Lorabellamom,KIA
@Lotte1982giants,SAMSUNG
@LotusFlower-g4s,SAMSUNG
@Loveinmiddle,KIA
@Loveofminesomedayyouwilldie,unknown
@LoyalSpencer-e9f,SAMSUNG
@Lp-h9f,KIA
@Lskslskss,SAMSUNG
@Lucas-nf5mp,SAMSUNG
@Lucifer-z8v,SAMSUNG
@LulluHan,SAMSUNG
@L파블로,SAMSUNG
@M1NCH0,SAMSUNG
@MA-tm9gx,SAMSUNG
@MARIE-hk9hb,SAMSUNG
@MARIE_DAY,SAMSUNG
@MCT5959,unknown
@MIHO-4786,SAMSUNG
@MIJJUNGPARK,SAMSUNG
@MINSUKIM-l7o,unknown
@MJ.Son_01,SAMSUNG
@MKK-ig3xb,unknown
@MLB_WALLET,SAMSUNG
@MLB진출,KIA
@MMNNU,KIA
